Question ID,Text,Question Image,Question Type 1,Question Type 2,Main Topic,Subtopic
1," A block of mass m is pulled across a rough horizontal table by a string connected to a motor that is attached to the floor. The string passes over a pulley with negligible friction that is vertically aligned with the left edge of the table as shown. The string and pulley both have negligible mass. The pulley is at height H above the table. The motor exerts a constant force of tension FT on the string, and the block remains in contact with the table at all times as the block slides across the table from x = L to x = 0. The coefficient of kinetic friction between the table and the block is μk. Express all algebraic answers in terms of m, H, FT, x, μk, L, and physical constants as appropriate.",https://drive.google.com/file/d/1FQf08Y6D8L2HQzKq-zZ8sBmpRtsoTlZj/view?usp=share_link,,,,
1a,"On the dot below that represents the block, draw and label the forces (not components) that act on the block when the block is at x = L. Each force must be represented by a distinct arrow starting on, and pointing away from, the dot.",https://drive.google.com/file/d/1hyKpJAFspJa4vDhZ_J0SKZwJbY4GrbeA/view?usp=share_link,Conceptual,FRQ,Mechanics,Newton’s Laws
1b,Derive an expression for the angle \theta that the string makes with the horizontal as a function of x.,,Numerical,FRQ,Mechanics,"Work, Energy, and Power
"
1c-1,Derive an expression for the normal force F_N exerted on the block by the table as a function of the block’s position x.,,Numerical,FRQ,Mechanics,"Newton’s Laws + Friction
"
1c-2,Derive an expression for the magnitude of the net horizontal force F_{\text{net}} exerted on the block as a function of the position x.,,Numerical,FRQ,Mechanics,"Newton’s Laws + Friction
"
1d,"Write, but do not solve, an integral expression that could be used to solve for the work W done by the string on the block as the block moves from x = L to x = 0.",,Numerical,FRQ,Mechanics,"Work, Energy, and Power
"
1e,"Does the string do more, less, or the same amount of work on the block as the block moves from
x = L to x = \frac{L}{2} compared to when the block moves from x = \frac{L}{2} to x = 0?

Answers:
More work when the block moves from x = L to x = \frac{L}{2}
Less work when the block moves from x = L to x = \frac{L}{2}
The same amount of work when the block moves from x = L to x = \frac{L}{2}

Justify your answer.",,Conceptual,FRQ,Mechanics,"Work, Energy, and Power
"
2,"Cart 1 of mass m_1 is held at rest above the bottom of an incline. Cart 2 has mass m_2, where m_2 > m_1, and is at rest at the bottom of the incline. At time t = 0, Cart 1 is released and then travels down the incline and smoothly transitions to the horizontal section. The center of mass of Cart 1 moves a vertical distance of H, as shown. At time t_C, Cart 1 reaches the bottom of the incline and immediately collides with and sticks to Cart 2. After the collision, the two-cart system moves with constant speed v. Frictional and rotational effects are negligible.",https://drive.google.com/file/d/1sjig3kMHKHpgHsccxTbU9bgR9UEvE8p9/view?usp=share_link,,,,
2a," During the collision, is the impulse on Cart 1 from Cart 2 greater than, less than, or equal to the magnitude of the impulse on Cart 2 from Cart 1?

Answers:
Greater than  
Less than  
Equal to

Justify your answer.",,Conceptual,FRQ,Mechanics,"Systems of Particles & Momentum
"
2b,"On the following axes, draw graphs of the magnitude of the momentum of each cart as a function of time t, before and after t_C. The collision occurs in a negligible amount of time. The grid lines on each graph are drawn to the same scale.",https://drive.google.com/file/d/1HCNqKh5Qq3tTloJ-x7X7fPwNwVOqvxwm/view?usp=share_link,Numerical,FRQ,Mechanics,"
Systems of Particles & Momentum
"
